
==============================================================================================================
                                  BAI 7 - PRODUCT WITH HIGHEST QUANTITY SOLD                                  
==============================================================================================================
Product_ID                  Product_Category_Name  Quantity_Sold  Total_Revenue   Avg_Review_Score  Review_Count
----------------------------------------------------------------------------------------------------------------
aca2eb7d00ea1a7b8ebd4e6...  Furniture_Decor                  527        44820.76            4.0191           524
----------------------------------------------------------------------------------------------------------------
Rows shown in this table: 1

Giai thich:
- Quantity_Sold duoc tinh bang cach dem so dong san pham trong Order_Items theo tung Product_ID.
- San pham o bang tren la san pham co so luong ban ra cao nhat.
- Neu nhieu san pham co cung Quantity_Sold, Total_Revenue duoc dung lam tieu chi sap xep tiep theo.

==============================================================================================================
                                             BAI 7 - ALL PRODUCTS                                             
==============================================================================================================
Product_ID                  Product_Category_Name             Quantity_Sold  Total_Revenue   Avg_Review_Score  Review_Count
---------------------------------------------------------------------------------------------------------------------------
75d6b6963340c6063f7f4cf...  Perfumery                                    93         6558.12            4.1064            94
cd48f265a63e13b762601f5...  Drinks                                       93         5896.57            4.2366            93
8c292ca193d326152e335d7...  Health_Beauty                                92        15701.26            4.0761            92
b5e13c9a353102f79c6206f...  Toys                                         91         9368.14            2.8901            91
3f14d740544f37ece8a9e7b...  Computers_Accessories                        91         9261.81            3.6632            95
ee406bf28024d97771c4b1e...  Cool_Stuff                                   90        14436.78            4.1494            87
4fcb3d9a5f4871e8362dfed...  Auto                                         89        14709.35            4.3333            90
cac9e5692471a0700418aa3...  Baby                                         89        11484.57            4.1818            88
ee0c1cf2fbeae95205b4aa5...  Perfumery                                    89         5755.58            4.0674            89
2136c70bbe723d338fab53d...  Watches_Gifts                                89         3706.93            4.0562            89
4298b7e67dc399c200662b5...  Computers_Accessories                        88        14121.04            3.5934            91
dbb67791e405873b259e465...  Computers_Accessories                        88         8150.94            3.8539            89
473795a355d29305c3ea6b1...  Perfumery                                    88         6147.02            4.2614            88
7fb04722aba7a2b632bac8f...  Health_Beauty                                87         8963.46            4.1379            87
363218ba55c610b750224f9...  Bed_Bath_Table                               86         8143.32            4.4651            86
a50acd33ba7a8da8e9db650...  Auto                                         84        11720.52            4.0824            85
e44f675b60b3a3a2453ec36...  Sports_Leisure                               84        10263.75            4.1446            83
fb55982be901439613a9594...  Stationery                                   84         8384.55            4.1707            82
d04857e7b4b708ee8b8b992...  Computers_Accessories                        84         7260.01            4.2857            84
bee2e070c39f3dd2f6883a1...  Computers_Accessories                        80        14953.81            4.0897            78
c9c6fde711572c1ad99ca12...  Telephony                                    79          3517.2            4.1688            77
5411e9269501a870cabf632...  Stationery                                   77        10751.93              4.44            75
64fb265487de2238627ce43...  Bed_Bath_Table                               75         8518.96            3.8919            74
629e019a6f298a83aeecc78...  Auto                                         74         9730.49            4.5616            73
18b0e642cbae7251e60a64a...  Computers_Accessories                        74         3143.92            4.2933            75
362b773250263786dd58670...  Sports_Leisure                               73         4763.39            2.9178            73
5a6e53c3b4e8684b13388d6...  Housewares                                   73         2301.47            4.1644            73
3354a4e684f5e7199f9407d...  Cool_Stuff                                   72         7839.46            4.2603            73
0d85c435fd60b277ffb9e9b...  Computers_Accessories                        72         6278.65            4.0139            72
7e0dc102074f8285580c977...  Garden_Tools                                 72         3569.13            3.6944            72
d3c044bd42d84a79e3b0c42...  Sports_Leisure                               72         2987.29            4.1111            72
634256dbcd184b3757ffd76...  Health_Beauty                                72         2532.05            4.2429            70
2948658cb6abc82847412be...  Health_Beauty                                71        10064.69            3.9565            69
93c902b021a9e594f658ab1...  Electronics                                  71         8249.81            3.8732            71
cec09725da5ed01471d9a50...  Sports_Leisure                               71         6285.01            3.9722            72
8ed094bfe076c568f6bb10f...  Office_Furniture                             70        16971.94            3.4429            70
2a2d22ae30e026f1893083c...  Bed_Bath_Table                               70        11725.86            4.1972            71
bd6e6fce9ada76ea2db0f19...  Bed_Bath_Table                               69         4974.33            3.9265            68
97017430754804328eb9597...  Telephony                                    69         3192.14            4.1618            68
ab1f9387c0627dd24000bfb...  Electronics                                  69         1703.54            4.3623            69
89b121bee266dcd25688a1b...  Computers_Accessories                        68         6262.53             2.403            67
dab2413ead0edda9967edbc...  Telephony                                    68         3026.84            3.6418            67
1613b819ab5dae53aead2db...  Auto                                         68         2833.55            4.1176            68
b623b7cb05ee3248fbe4a6e...  Toys                                         66         6030.53            3.7692            65
11875b30b49585209e608f4...  Sports_Leisure                               66         5504.58            4.2941            68
24c66f106f642621e524291...  Health_Beauty                                65        13273.96            4.3939            66
f71973c922ccaab05514a36...  Luggage_Accessories                          65         9140.72            4.2769            65
bbaef2eadf31fe3ea670207...  Perfumery                                    65         4682.16             3.803            66
5d66715cc928aadd0074f61...  Electronics                                  64         2340.58            4.0625            64
0152f69b6cf919bcdaf117a...  Bed_Bath_Table                               64         1936.72            3.8769            65
5f504b3a1c75b73d6151be8...  Cool_Stuff                                   63        41725.81            4.5556            63
41c24b8ce92d1a2cac62db5...  Watches_Gifts                                63          7915.4            4.4444            63
ea44caac707f7f1325182a5...  Baby                                         63         4225.37            3.8413            63
f7a17d2c51d9df89a4f1711...  Housewares                                   63         4096.23            4.5469            64
44a34214a57dc373dcd80f5...  Sports_Leisure                               63          2995.7            4.2258            62
7814c273ab16783d73a9863...  Furniture_Decor                              62        18273.08            3.9841            63
25f86162fee18735fffdb76...  Bed_Bath_Table                               62         10963.8            4.1613            62
e59dd207c69d86e890febad...  Cool_Stuff                                   62         10025.5            3.7258            62
6a8631b72a2f8729b91514d...  Electronics                                  62         2745.15            4.7097            62
fbce4c4cb307679d89a3bf3...  Bed_Bath_Table                               60        10801.62            3.9833            60
928e52a9ad53a294fdcc91b...  Housewares                                   60          9282.8            3.5862            58
06c6e01186af8b98ee1fc9e...  Computers_Accessories                        60         3214.82            4.4262            61
a19b6951c75da43aad69162...  Furniture_Decor                              60         3124.88            3.8889            63
a9516a079e37a9c9c36b9b7...  Office_Furniture                             59         8903.46            3.4237            59
781afe929e3016a667f5f43...  Sports_Leisure                               59         7313.34            4.1525            59
3eef0cb94ba82de806bb30a...  Office_Furniture                             59         6495.72            3.1864            59
8c5876b1c7768217964f353...  Telephony                                    59         3744.63            4.3051            59
19421075ae0b585f2dc13ff...  Sports_Leisure                               59         3576.44            3.8814            59
e9a69340883a438c3f91739...  Housewares                                   58        11425.17               4.0            58
f35927953ed82e19d06ad3a...  Books_General_Interest                       58         7769.69            4.0877            57
fbc1488c1a1e72ba175f53a...  Perfumery                                    58         7769.01            4.6207            58
c3ba4e8d3cb30049213b682...  Watches_Gifts                                58         6281.35            3.9483            58
2fea0f2cec6b6324a277d4a...  Health_Beauty                                58         4005.58            3.7931            58
d696750e550fd0f733979dd...  Housewares                                   57        11048.69            4.5263            57
fc1d8637c0268af3db482c1...  Bed_Bath_Table                               57         9455.89            4.3333            57
